"","FECHA","Nro_Vehiculos","NRO_TOTAL_VEHICULOS"
"670",2013-10-31,2134,2134
"671",2013-11-01,1152,1152
"672",2013-11-02,341,341
"673",2013-11-03,3,3
"674",2013-11-04,46,46
"675",2013-11-05,1036,1036
"676",2013-11-06,1187,1187
"677",2013-11-07,1216,1216
"678",2013-11-08,1266,1266
"679",2013-11-09,375,375
"680",2013-11-10,4,4
"681",2013-11-11,51,51
"682",2013-11-12,1139,1139
"683",2013-11-13,1305,1305
"684",2013-11-14,1337,1337
"685",2013-11-15,1392,1392
"686",2013-11-16,412,412
"687",2013-11-17,4,4
"688",2013-11-18,991,991
"689",2013-11-19,1252,1252
"690",2013-11-20,1435,1435
"691",2013-11-21,1469,1469
"692",2013-11-22,1530,1530
"693",2013-11-23,453,453
"694",2013-11-24,4,4
"695",2013-11-25,1090,1090
"696",2013-11-26,1376,1376
"697",2013-11-27,1577,1577
"698",2013-11-28,1615,1615
"699",2013-11-29,1681,1681
"700",2013-11-30,498,498
"701",2013-12-01,3,3
"702",2013-12-02,836,836
"703",2013-12-03,1055,1055
"704",2013-12-04,1209,1209
"705",2013-12-05,1239,1239
"706",2013-12-06,1289,1289
"707",2013-12-07,382,382
"708",2013-12-08,0,0
"709",2013-12-09,919,919
"710",2013-12-10,1160,1160
"711",2013-12-11,1329,1329
"712",2013-12-12,1361,1361
"713",2013-12-13,1417,1417
"714",2013-12-14,420,420
"715",2013-12-15,4,4
"716",2013-12-16,1010,1010
"717",2013-12-17,1275,1275
"718",2013-12-18,1461,1461
"719",2013-12-19,1496,1496
"720",2013-12-20,1558,1558
"721",2013-12-21,461,461
"722",2013-12-22,4,4
"723",2013-12-23,1110,1110
"724",2013-12-24,1401,1401
"725",2013-12-25,0,0
"726",2013-12-26,1645,1645
"727",2013-12-27,1713,1713
"728",2013-12-28,507,507
"729",2013-12-29,5,5
"730",2013-12-30,1220,1220
"731",2013-12-31,429,429
"732",2014-01-01,0,0
"733",2014-01-02,835,835
"734",2014-01-03,869,869
"735",2014-01-04,257,257
"736",2014-01-05,2,2
"737",2014-01-06,619,619
"738",2014-01-07,782,782
"739",2014-01-08,896,896
"740",2014-01-09,918,918
"741",2014-01-10,955,955
"742",2014-01-11,283,283
"743",2014-01-12,3,3
"744",2014-01-13,38,38
"745",2014-01-14,859,859
"746",2014-01-15,985,985
"747",2014-01-16,1009,1009
"748",2014-01-17,1050,1050
"749",2014-01-18,311,311
"750",2014-01-19,3,3
"751",2014-01-20,748,748
"752",2014-01-21,945,945
"753",2014-01-22,1083,1083
