"","FECHA","UNIDADES","YEAR","DIA","MES","DIA_SEMANA","FESTIVIDAD"
"324",2012-11-19,845,2012,19,11,"lunes","dia_habil"
"325",2012-11-20,1084,2012,20,11,"martes","dia_habil"
"326",2012-11-21,1056,2012,21,11,"miercoles","dia_habil"
"327",2012-11-22,1135,2012,22,11,"jueves","dia_habil"
"328",2012-11-23,1232,2012,23,11,"viernes","dia_habil"
"329",2012-11-24,329,2012,24,11,"sabado","dia_habil"
"330",2012-11-25,1,2012,25,11,"domingo","dia_habil"
"331",2012-11-26,893,2012,26,11,"lunes","dia_habil"
"332",2012-11-27,1180,2012,27,11,"martes","dia_habil"
"333",2012-11-28,1323,2012,28,11,"miercoles","dia_habil"
"334",2012-11-29,1448,2012,29,11,"jueves","dia_habil"
"335",2012-11-30,1565,2012,30,11,"viernes","dia_habil"
"336",2012-12-01,422,2012,1,12,"sabado","dia_habil"
"337",2012-12-02,1,2012,2,12,"domingo","dia_habil"
"338",2012-12-03,1024,2012,3,12,"lunes","dia_habil"
"339",2012-12-04,1175,2012,4,12,"martes","dia_habil"
"340",2012-12-05,1587,2012,5,12,"miercoles","dia_habil"
"341",2012-12-06,1783,2012,6,12,"jueves","dia_habil"
"342",2012-12-07,1652,2012,7,12,"viernes","dia_habil"
"343",2012-12-08,0,2012,8,12,"sabado","festivo"
"344",2012-12-09,0,2012,9,12,"domingo","dia_habil"
"345",2012-12-10,1238,2012,10,12,"lunes","dia_habil"
"346",2012-12-11,1583,2012,11,12,"martes","dia_habil"
"347",2012-12-12,1729,2012,12,12,"miercoles","dia_habil"
"348",2012-12-13,1827,2012,13,12,"jueves","dia_habil"
"349",2012-12-14,1861,2012,14,12,"viernes","dia_habil"
"350",2012-12-15,515,2012,15,12,"sabado","dia_habil"
"351",2012-12-16,0,2012,16,12,"domingo","dia_habil"
"352",2012-12-17,1192,2012,17,12,"lunes","dia_habil"
"353",2012-12-18,1789,2012,18,12,"martes","dia_habil"
"354",2012-12-19,1961,2012,19,12,"miercoles","dia_habil"
"355",2012-12-20,2101,2012,20,12,"jueves","dia_habil"
"356",2012-12-21,2124,2012,21,12,"viernes","dia_habil"
"357",2012-12-22,904,2012,22,12,"sabado","dia_habil"
"358",2012-12-23,0,2012,23,12,"domingo","dia_habil"
"359",2012-12-24,535,2012,24,12,"lunes","dia_habil"
"360",2012-12-25,0,2012,25,12,"martes","navidad"
"361",2012-12-26,1206,2012,26,12,"miercoles","dia_habil"
"362",2012-12-27,1921,2012,27,12,"jueves","dia_habil"
"363",2012-12-28,2418,2012,28,12,"viernes","dia_habil"
"364",2012-12-29,1087,2012,29,12,"sabado","dia_habil"
"365",2012-12-30,0,2012,30,12,"domingo","dia_habil"
"366",2012-12-31,68,2012,31,12,"lunes","a_viejo"
"367",2013-01-01,0,2013,1,1,"martes","a_nuevo"
"368",2013-01-02,223,2013,2,1,"miercoles","dia_habil"
"369",2013-01-03,402,2013,3,1,"jueves","dia_habil"
"370",2013-01-04,884,2013,4,1,"viernes","dia_habil"
"371",2013-01-05,215,2013,5,1,"sabado","dia_habil"
"372",2013-01-06,0,2013,6,1,"domingo","dia_habil"
"373",2013-01-07,0,2013,7,1,"lunes","dia_habil"
"374",2013-01-08,623,2013,8,1,"martes","dia_habil"
"375",2013-01-09,1005,2013,9,1,"miercoles","dia_habil"
"376",2013-01-10,957,2013,10,1,"jueves","dia_habil"
"377",2013-01-11,1069,2013,11,1,"viernes","dia_habil"
"378",2013-01-12,311,2013,12,1,"sabado","dia_habil"
"379",2013-01-13,1,2013,13,1,"domingo","dia_habil"
"380",2013-01-14,766,2013,14,1,"lunes","festivo"
"381",2013-01-15,1063,2013,15,1,"martes","dia_habil"
"382",2013-01-16,1007,2013,16,1,"miercoles","dia_habil"
"383",2013-01-17,1083,2013,17,1,"jueves","dia_habil"
"384",2013-01-18,951,2013,18,1,"viernes","dia_habil"
"385",2013-01-19,248,2013,19,1,"sabado","dia_habil"
"386",2013-01-20,0,2013,20,1,"domingo","dia_habil"
"387",2013-01-21,756,2013,21,1,"lunes","dia_habil"
"388",2013-01-22,816,2013,22,1,"martes","dia_habil"
"389",2013-01-23,998,2013,23,1,"miercoles","dia_habil"
"390",2013-01-24,852,2013,24,1,"jueves","dia_habil"
"391",2013-01-25,952,2013,25,1,"viernes","dia_habil"
"392",2013-01-26,285,2013,26,1,"sabado","dia_habil"
"393",2013-01-27,0,2013,27,1,"domingo","dia_habil"
"394",2013-01-28,809,2013,28,1,"lunes","dia_habil"
"395",2013-01-29,983,2013,29,1,"martes","dia_habil"
"396",2013-01-30,1178,2013,30,1,"miercoles","dia_habil"
"397",2013-01-31,1104,2013,31,1,"jueves","dia_habil"
"398",2013-02-01,1064,2013,1,2,"viernes","dia_habil"
"399",2013-02-02,224,2013,2,2,"sabado","dia_habil"
"400",2013-02-03,0,2013,3,2,"domingo","dia_habil"
"401",2013-02-04,740,2013,4,2,"lunes","dia_habil"
"402",2013-02-05,885,2013,5,2,"martes","dia_habil"
"403",2013-02-06,1218,2013,6,2,"miercoles","dia_habil"
"404",2013-02-07,1150,2013,7,2,"jueves","dia_habil"
"405",2013-02-08,1181,2013,8,2,"viernes","dia_habil"
"406",2013-02-09,291,2013,9,2,"sabado","dia_habil"
"407",2013-02-10,1,2013,10,2,"domingo","dia_habil"
"408",2013-02-11,830,2013,11,2,"lunes","dia_habil"
"409",2013-02-12,916,2013,12,2,"martes","dia_habil"
"410",2013-02-13,1076,2013,13,2,"miercoles","dia_habil"
"411",2013-02-14,1110,2013,14,2,"jueves","dia_habil"
"412",2013-02-15,1265,2013,15,2,"viernes","dia_habil"
"413",2013-02-16,263,2013,16,2,"sabado","dia_habil"
"414",2013-02-17,0,2013,17,2,"domingo","dia_habil"
"415",2013-02-18,719,2013,18,2,"lunes","dia_habil"
"416",2013-02-19,1036,2013,19,2,"martes","dia_habil"
"417",2013-02-20,1096,2013,20,2,"miercoles","dia_habil"
"418",2013-02-21,1064,2013,21,2,"jueves","dia_habil"
"419",2013-02-22,1094,2013,22,2,"viernes","dia_habil"
"420",2013-02-23,324,2013,23,2,"sabado","dia_habil"
"421",2013-02-24,0,2013,24,2,"domingo","dia_habil"
"422",2013-02-25,755,2013,25,2,"lunes","dia_habil"
"423",2013-02-26,1119,2013,26,2,"martes","dia_habil"
"424",2013-02-27,1133,2013,27,2,"miercoles","dia_habil"
"425",2013-02-28,1311,2013,28,2,"jueves","dia_habil"
"426",2013-03-01,963,2013,1,3,"viernes","dia_habil"
"427",2013-03-02,264,2013,2,3,"sabado","dia_habil"
"428",2013-03-03,0,2013,3,3,"domingo","dia_habil"
"429",2013-03-04,677,2013,4,3,"lunes","dia_habil"
"430",2013-03-05,930,2013,5,3,"martes","dia_habil"
"431",2013-03-06,1073,2013,6,3,"miercoles","dia_habil"
"432",2013-03-07,1136,2013,7,3,"jueves","dia_habil"
"433",2013-03-08,1207,2013,8,3,"viernes","dia_habil"
"434",2013-03-09,354,2013,9,3,"sabado","dia_habil"
"435",2013-03-10,1,2013,10,3,"domingo","dia_habil"
"436",2013-03-11,851,2013,11,3,"lunes","dia_habil"
"437",2013-03-12,1065,2013,12,3,"martes","dia_habil"
"438",2013-03-13,1167,2013,13,3,"miercoles","dia_habil"
"439",2013-03-14,1223,2013,14,3,"jueves","dia_habil"
